dataset,corpus,query_id,split,query_type,difficulty,method,baseline_rank,rank,rank_delta_baseline_minus_method,change,hit_at_5,query,relevant_document_ids,top5_document_ids
english,english_152,emanual_69,validation,english,emanual,dense,1,1,0,unchanged,True,How to create a Samsung account using a Facebook account?,doc_88924c0794a9c8d4,doc_88924c0794a9c8d4|doc_fbd8475fad369e41|doc_5c5589c27cc2fd98|doc_75b8a9fd66adafa1|doc_fe8b5be25413f30d
english,english_152,emanual_145,test,english,emanual,dense,1,1,0,unchanged,True,Where do I find the list of my favorite channels?,doc_3af6b352347331b3|doc_95fa017d8afc2bc7,doc_95fa017d8afc2bc7|doc_3af6b352347331b3|doc_242dd5273a96502e|doc_4ae5dbe8a44556a1|doc_ffe8bf4b5c0e3c80
english,english_152,emanual_139,validation,english,emanual,dense,1,1,0,unchanged,True,How can I schedule any program?,doc_021c12c35b16c64e|doc_a516564b3a344f30,doc_a516564b3a344f30|doc_021c12c35b16c64e|doc_f2a6f947643fc60e|doc_5d7d7b3b2abc89df|doc_0957beae540a0ea4
english,english_152,emanual_146,validation,english,emanual,dense,6,3,3,improved,True,Where do I find Guide Screen option?,doc_0012580590c4c18b|doc_1c805f0df386110a,doc_a41de15e5b29bc4a|doc_2c3942511eba49a0|doc_1c805f0df386110a|doc_0012580590c4c18b|doc_c054145800fbf428
english,english_152,emanual_89,test,english,emanual,dense,1,1,0,unchanged,True,What is the use of universal guide?,doc_c8cba373f361e344,doc_c8cba373f361e344|doc_41c59520df46bac2|doc_562d294fe96ed140|doc_2c3942511eba49a0|doc_da1300ebb4dd314e
english,english_152,emanual_212,validation,english,emanual,dense,5,1,4,improved,True,How do I configure Color?,doc_353741387bfd6387,doc_353741387bfd6387|doc_af2ec7a96f792725|doc_0f4a2c01c63c7750|doc_64626f5b3d334fe7|doc_28fa362e0abac177
english,english_152,emanual_1,test,english,emanual,dense,16,1,15,improved,True,What is source and how to serch data for channels?,doc_1eb01c14078311bb|doc_4ae5dbe8a44556a1,doc_1eb01c14078311bb|doc_3a3e2297d8738f02|doc_af3de84130096de7|doc_3116d72414e56f1e|doc_6d5820ee6e37bce8
english,english_152,emanual_451,test,english,emanual,dense,15,1,14,improved,True,TV audio is not being played through the receiver. What should I do?,doc_16dcff0dc12a6a13|doc_422d081516bd1cce,doc_422d081516bd1cce|doc_202f58843ae10ffc|doc_16dcff0dc12a6a13|doc_dc30edcb02d26e16|doc_63df1531cbdc659b
english,english_152,emanual_182,validation,english,emanual,dense,1,1,0,unchanged,True,How can I connect Samsung-Smart-Remote to TV?,doc_34c598c35f3e6406|doc_e8f06baf2e266ead,doc_e8f06baf2e266ead|doc_34c598c35f3e6406|doc_a999e4aaad94aafb|doc_a00c8eaf77703d82|doc_cb5137af2abe18b6
english,english_152,emanual_470,validation,english,emanual,dense,1,4,-3,declined,True,My TV screen automatically became black screen. How ?,doc_559038e0a46f70dd,doc_0f4a2c01c63c7750|doc_bb306395cc6d4f76|doc_615a7c3ab71fc9f0|doc_559038e0a46f70dd|doc_1ccf529a297411ff
english,english_152,emanual_465,test,english,emanual,dense,1,1,0,unchanged,True,How can I turn on ambient mode on TV screen. Can you explain about that?,doc_1ccf529a297411ff|doc_559038e0a46f70dd|doc_fd9f5beff7a82de8,doc_1ccf529a297411ff|doc_559038e0a46f70dd|doc_fd9f5beff7a82de8|doc_af2ec7a96f792725|doc_afc84e50acac12bb
english,english_152,emanual_302,test,english,emanual,dense,4,1,3,improved,True,How do I check scheduled viewings?,doc_021c12c35b16c64e|doc_0312927d1c998db2|doc_a516564b3a344f30,doc_021c12c35b16c64e|doc_a516564b3a344f30|doc_a41de15e5b29bc4a|doc_f2a6f947643fc60e|doc_0312927d1c998db2
english,english_152,emanual_645,test,english,emanual,dense,2,1,1,improved,True,Can I fix low volume issue?,doc_422d081516bd1cce|doc_dc30edcb02d26e16,doc_422d081516bd1cce|doc_dc30edcb02d26e16|doc_afc84e50acac12bb|doc_c0720d5f0d595fea|doc_c054145800fbf428
english,english_152,emanual_490,test,english,emanual,dense,4,1,3,improved,True,Can I configure Tint?,doc_353741387bfd6387,doc_353741387bfd6387|doc_af2ec7a96f792725|doc_e46962318e2553d7|doc_e55ae96035dd76d6|doc_9bcc997d8d11776c
english,english_152,emanual_411,validation,english,emanual,dense,1,1,0,unchanged,True,How do I troubleshoot video issues ?,doc_0f015058bf7c2775|doc_bb306395cc6d4f76,doc_bb306395cc6d4f76|doc_16dcff0dc12a6a13|doc_202f58843ae10ffc|doc_c76d00f88bf6de78|doc_e12736352b7e2a01
english,english_152,emanual_359,test,english,emanual,dense,1,1,0,unchanged,True,Can I turn on the TV with a mobile device?,doc_7d9084e249b806f6|doc_e5596e1b3e874338,doc_e5596e1b3e874338|doc_7d9084e249b806f6|doc_93b5337a580bd24e|doc_804541978d7fce82|doc_c3adb567b151b0fb
english,english_152,emanual_14,test,english,emanual,dense,1,1,0,unchanged,True,What are natural and movie mode?,doc_af9e1db1daf8b03b,doc_af9e1db1daf8b03b|doc_559038e0a46f70dd|doc_1ccf529a297411ff|doc_af2ec7a96f792725|doc_21e1954dbcd5e7b3
english,english_152,emanual_594,test,english,emanual,dense,1,1,0,unchanged,True,How do I view a list of mobile devices registered to the TV?,doc_804541978d7fce82,doc_804541978d7fce82|doc_a00c8eaf77703d82|doc_7d9084e249b806f6|doc_a99a8099396779cd|doc_93b5337a580bd24e
english,english_152,emanual_179,validation,english,emanual,dense,2,1,1,improved,True,Where do I find e-Manual?,doc_2caad8a88899272a|doc_83dbad72020c426c,doc_83dbad72020c426c|doc_2caad8a88899272a|doc_4fa7990263faeb2a|doc_1725377e288e3615|doc_75b8a9fd66adafa1
english,english_152,emanual_567,validation,english,emanual,dense,2,1,1,improved,True,I want to update the TV automatically. How can I do that ?,doc_755e377f476da28d|doc_c0f02da9d00f95d9,doc_c0f02da9d00f95d9|doc_755e377f476da28d|doc_e66d2e96bcd55a11|doc_9bcc997d8d11776c|doc_8a7e529a6a2552da
english,english_152,emanual_325,validation,english,emanual,dense,6,1,5,improved,True,How do I select and view channels from favorite list only ?,doc_3af6b352347331b3,doc_3af6b352347331b3|doc_ffe8bf4b5c0e3c80|doc_242dd5273a96502e|doc_4ae5dbe8a44556a1|doc_95fa017d8afc2bc7
english,english_152,emanual_29,validation,english,emanual,dense,1,1,0,unchanged,True,What is Default / CC1 ~ CC4/ Text1 ~ Text4 and Default / Service1 ~ Service6 / CC1 ~ CC4 / Text1 ~ Text4?,doc_28fa362e0abac177,doc_28fa362e0abac177|doc_c62d865190756e69|doc_21e1954dbcd5e7b3|doc_f04d6853c10a7967|doc_81063f3c891a1b05
english,english_152,emanual_634,validation,english,emanual,dense,1,1,0,unchanged,True,Can I fix Screen Brightness issues?,doc_afc84e50acac12bb|doc_bb306395cc6d4f76,doc_afc84e50acac12bb|doc_353741387bfd6387|doc_bb306395cc6d4f76|doc_0f4a2c01c63c7750|doc_2bbca0997af7e74a
english,english_152,emanual_590,validation,english,emanual,dense,3,1,2,improved,True,What are the steps to connect my mobile device to the TV?,doc_7d9084e249b806f6|doc_a00c8eaf77703d82,doc_7d9084e249b806f6|doc_a00c8eaf77703d82|doc_e5596e1b3e874338|doc_804541978d7fce82|doc_93b5337a580bd24e
english,english_152,emanual_433,test,english,emanual,dense,1,1,0,unchanged,True,How do I fix odd sound of speaker?,doc_422d081516bd1cce|doc_c0720d5f0d595fea,doc_422d081516bd1cce|doc_d0c4a5adf3ffc776|doc_c0720d5f0d595fea|doc_dc30edcb02d26e16|doc_5f9d9d64cde629ee
english,english_152,emanual_507,validation,english,emanual,dense,1,1,0,unchanged,True,Explain the procedure to adjust HDMI black level?,doc_0af7c92f8dbdb29b,doc_0af7c92f8dbdb29b|doc_0f4a2c01c63c7750|doc_353741387bfd6387|doc_64626f5b3d334fe7|doc_4f3fc32b567e8f3b
english,english_152,emanual_467,test,english,emanual,dense,1,4,-3,declined,True,I want to enter into Ambient mode. How can I do that?,doc_fd9f5beff7a82de8,doc_af2ec7a96f792725|doc_1ccf529a297411ff|doc_559038e0a46f70dd|doc_fd9f5beff7a82de8|doc_da1300ebb4dd314e
english,english_152,emanual_22,validation,english,emanual,dense,1,1,0,unchanged,True,How do I configure RGB Only Mode and Color Space Settings?,doc_353741387bfd6387,doc_353741387bfd6387|doc_af2ec7a96f792725|doc_0f4a2c01c63c7750|doc_28fa362e0abac177|doc_559038e0a46f70dd
english,english_152,emanual_486,test,english,emanual,dense,4,1,3,improved,True,Can I configure Brightness?,doc_353741387bfd6387|doc_afc84e50acac12bb,doc_afc84e50acac12bb|doc_353741387bfd6387|doc_2bbca0997af7e74a|doc_af2ec7a96f792725|doc_559038e0a46f70dd
english,english_152,emanual_135,validation,english,emanual,dense,2,1,1,improved,True,How do I use virtual numeric pad?,doc_0e3c01b874040648|doc_bb3e0d00176d1755,doc_0e3c01b874040648|doc_bb3e0d00176d1755|doc_ef91d3ce054acb3a|doc_9ea31ceb018bd241|doc_c054145800fbf428
english,english_152,emanual_430,test,english,emanual,dense,2,1,1,improved,True,how do I fix low volume issue?,doc_422d081516bd1cce|doc_77298c31ec8420b7|doc_c0720d5f0d595fea,doc_422d081516bd1cce|doc_dc30edcb02d26e16|doc_afc84e50acac12bb|doc_c0720d5f0d595fea|doc_d0c4a5adf3ffc776
english,english_152,emanual_155,validation,english,emanual,dense,1,1,0,unchanged,True,How can I view and select channels on my favorite lists only?,doc_3af6b352347331b3,doc_3af6b352347331b3|doc_ffe8bf4b5c0e3c80|doc_242dd5273a96502e|doc_4ae5dbe8a44556a1|doc_95fa017d8afc2bc7
english,english_152,emanual_461,validation,english,emanual,dense,2,1,1,improved,True,I want to know about settings option in smart hub. What is it?,doc_0e7fbbe1ec22ae1b|doc_de8b8dd292c3b28e,doc_de8b8dd292c3b28e|doc_1877001c624f7540|doc_0e7fbbe1ec22ae1b|doc_c62d865190756e69|doc_5d0f867bdf5d3927
english,english_152,emanual_229,test,english,emanual,dense,1,1,0,unchanged,True,How can I use HDMI UHD Color?,doc_4f3fc32b567e8f3b|doc_4f82ee87336df9b4|doc_64626f5b3d334fe7,doc_64626f5b3d334fe7|doc_4f3fc32b567e8f3b|doc_4f82ee87336df9b4|doc_0af7c92f8dbdb29b|doc_959a249e5e387400
english,english_152,emanual_353,test,english,emanual,dense,1,1,0,unchanged,True,Can I request service I am having problem with the TV?,doc_25e78fd790c751f7|doc_48ab71c7d4b97cf1,doc_48ab71c7d4b97cf1|doc_25e78fd790c751f7|doc_615a7c3ab71fc9f0|doc_202f58843ae10ffc|doc_c76d00f88bf6de78
english,english_152,emanual_513,validation,english,emanual,dense,1,1,0,unchanged,True,Can I select Standard sound mode?,doc_99b36d27411cc595,doc_99b36d27411cc595|doc_d0c4a5adf3ffc776|doc_dc30edcb02d26e16|doc_af9e1db1daf8b03b|doc_c0720d5f0d595fea
english,english_152,emanual_333,test,english,emanual,dense,1,1,0,unchanged,True,Hpw do I configure advanced broadcasting audio settings?,doc_23430cd6cb95ef8f,doc_23430cd6cb95ef8f|doc_d0c4a5adf3ffc776|doc_dc30edcb02d26e16|doc_5f9d9d64cde629ee|doc_c0720d5f0d595fea
english,english_152,emanual_341,test,english,emanual,dense,1,3,-2,declined,True,What is the feature of Bixby guide?,doc_3deec08e7a494c6d,doc_da1300ebb4dd314e|doc_cb5137af2abe18b6|doc_3deec08e7a494c6d|doc_75b8a9fd66adafa1|doc_487682275d5ba6d5
english,english_152,emanual_580,validation,english,emanual,dense,1,1,0,unchanged,True,Can I configure the IPv6 connection settings?,doc_1dd3a6f1cd0a8ac3,doc_1dd3a6f1cd0a8ac3|doc_47ce19cf70eb6dd7|doc_25dffc7c886f9021|doc_c3adb567b151b0fb|doc_e778c8da35de9c2f
english,english_152,emanual_64,test,english,emanual,dense,1,1,0,unchanged,True,How to launch the last used app automatically?,doc_8a7e529a6a2552da,doc_8a7e529a6a2552da|doc_9bcc997d8d11776c|doc_3f10c228d9ebd41b|doc_da1300ebb4dd314e|doc_5727e1afc29df334
english,english_152,emanual_26,validation,english,emanual,dense,1,1,0,unchanged,True,How to use the sleep timer and turn off the TV using the off timer?,doc_8cef7e3848eac080,doc_8cef7e3848eac080|doc_740618e7a565f652|doc_c0c0b15cc2de836c|doc_afc84e50acac12bb|doc_e46962318e2553d7
english,english_152,emanual_550,validation,english,emanual,dense,2,1,1,improved,True,Where do I find sound mode option and how to use it?,doc_5f9d9d64cde629ee|doc_99b36d27411cc595,doc_99b36d27411cc595|doc_d0c4a5adf3ffc776|doc_dc30edcb02d26e16|doc_c0720d5f0d595fea|doc_2c3942511eba49a0
english,english_152,emanual_577,test,english,emanual,hybrid,1,1,0,unchanged,True,What are the steps to reset network?,doc_25dffc7c886f9021,doc_25dffc7c886f9021|doc_c62d865190756e69|doc_e46962318e2553d7|doc_47ce19cf70eb6dd7|doc_e778c8da35de9c2f
english,english_152,emanual_39,validation,english,emanual,hybrid,2,1,1,improved,True,Please provide some instructions on how to schedule program and also can you please explain how to schedule recording??,doc_0957beae540a0ea4|doc_ef91d3ce054acb3a,doc_0957beae540a0ea4|doc_5d7d7b3b2abc89df|doc_ef91d3ce054acb3a|doc_a41de15e5b29bc4a|doc_202165cdad773eb5
english,english_152,emanual_548,test,english,emanual,hybrid,1,1,0,unchanged,True,Can I scan TV for malicious code ?,doc_04059663c2063c35|doc_89daeaea4bb0cb13,doc_04059663c2063c35|doc_89daeaea4bb0cb13|doc_e55ae96035dd76d6|doc_615a7c3ab71fc9f0|doc_0f015058bf7c2775
english,english_152,emanual_568,test,english,emanual,hybrid,1,1,0,unchanged,True,How do I turn on or off Remote Management?,doc_c987f7c29cc250f8|doc_f2b33f1597080e73,doc_c987f7c29cc250f8|doc_f2b33f1597080e73|doc_0012580590c4c18b|doc_f0e90fb8f636298c|doc_c054145800fbf428
english,english_152,emanual_114,test,english,emanual,hybrid,1,1,0,unchanged,True,Why my TV is making a popping noise?,doc_615a7c3ab71fc9f0,doc_615a7c3ab71fc9f0|doc_422d081516bd1cce|doc_bb306395cc6d4f76|doc_16dcff0dc12a6a13|doc_202f58843ae10ffc
english,english_152,emanual_32,test,english,emanual,hybrid,2,1,1,improved,True,How can I view the channels that are serached by auto program function and How can I view first five favorite channel?,doc_3af6b352347331b3|doc_4ae5dbe8a44556a1|doc_5727e1afc29df334,doc_5727e1afc29df334|doc_4ae5dbe8a44556a1|doc_c246ec277efd47fe|doc_95fa017d8afc2bc7|doc_3af6b352347331b3
english,english_152,emanual_97,test,english,emanual,hybrid,4,4,0,unchanged,True,What are the uses of buttons in the e-manual?,doc_1725377e288e3615,doc_2caad8a88899272a|doc_4fa7990263faeb2a|doc_83dbad72020c426c|doc_1725377e288e3615|doc_0012580590c4c18b
english,english_152,emanual_92,test,english,emanual,hybrid,1,1,0,unchanged,True,How to create new account in SmartThings ?,doc_88924c0794a9c8d4|doc_a99a8099396779cd,doc_a99a8099396779cd|doc_88924c0794a9c8d4|doc_7d9084e249b806f6|doc_fe8b5be25413f30d|doc_fbd8475fad369e41
english,english_152,emanual_3,validation,english,emanual,hybrid,1,2,-1,declined,True,Why my screen getting darker and also sometimes in state of black screen?,doc_1ccf529a297411ff|doc_559038e0a46f70dd,doc_0f4a2c01c63c7750|doc_559038e0a46f70dd|doc_1ccf529a297411ff|doc_0af7c92f8dbdb29b|doc_e0c8d52bda0ed65c
english,english_152,emanual_300,test,english,emanual,hybrid,1,1,0,unchanged,True,How do I set scheduled viewing time?,doc_021c12c35b16c64e|doc_a516564b3a344f30|doc_f2a6f947643fc60e,doc_f2a6f947643fc60e|doc_021c12c35b16c64e|doc_a516564b3a344f30|doc_0312927d1c998db2|doc_a41de15e5b29bc4a
english,english_152,emanual_75,validation,english,emanual,hybrid,1,1,0,unchanged,True,How to sign out of Samsung account?,doc_5c5589c27cc2fd98,doc_5c5589c27cc2fd98|doc_fbd8475fad369e41|doc_88924c0794a9c8d4|doc_75b8a9fd66adafa1|doc_f2b33f1597080e73
english,english_152,emanual_458,validation,english,emanual,hybrid,2,1,1,improved,True,How do I reset sound settings?,doc_c62d865190756e69,doc_c62d865190756e69|doc_d0c4a5adf3ffc776|doc_dc30edcb02d26e16|doc_5f9d9d64cde629ee|doc_d4d50252bc60bc84
english,english_152,emanual_347,test,english,emanual,hybrid,1,1,0,unchanged,True,How to update TV's software through USB device?,doc_e66d2e96bcd55a11,doc_e66d2e96bcd55a11|doc_755e377f476da28d|doc_c0f02da9d00f95d9|doc_3f10c228d9ebd41b|doc_1eb01c14078311bb
english,english_152,emanual_82,test,english,emanual,hybrid,1,1,0,unchanged,True,I need to lock app. How to do this?,doc_9bcc997d8d11776c,doc_9bcc997d8d11776c|doc_e55ae96035dd76d6|doc_60dafa15fdeb038e|doc_d2eed91f926a63e8|doc_8a7e529a6a2552da
english,english_152,emanual_437,validation,english,emanual,hybrid,13,4,9,improved,True,What can I do if I am getting distorted picture on TV?,doc_bb306395cc6d4f76,doc_202f58843ae10ffc|doc_e0c8d52bda0ed65c|doc_c76d00f88bf6de78|doc_bb306395cc6d4f76|doc_e12736352b7e2a01
english,english_152,emanual_50,validation,english,emanual,hybrid,2,1,1,improved,True,What is picture mode?,doc_af9e1db1daf8b03b,doc_af9e1db1daf8b03b|doc_e12736352b7e2a01|doc_d4d50252bc60bc84|doc_d5537ad686b27380|doc_706dedfd66e0c194
english,english_152,emanual_211,validation,english,emanual,hybrid,3,1,2,improved,True,How do I configure Sharpness?,doc_353741387bfd6387,doc_353741387bfd6387|doc_bb306395cc6d4f76|doc_cb5137af2abe18b6|doc_a99a8099396779cd|doc_0012580590c4c18b
english,english_152,emanual_558,test,english,emanual,hybrid,1,1,0,unchanged,True,Can I turn TV in Ambient Mode?,doc_559038e0a46f70dd|doc_fd9f5beff7a82de8,doc_fd9f5beff7a82de8|doc_1ccf529a297411ff|doc_559038e0a46f70dd|doc_af2ec7a96f792725|doc_afc84e50acac12bb
english,english_152,emanual_289,test,english,emanual,hybrid,1,1,0,unchanged,True,Explain the steps how to do Schedule Recording while watching a program?,doc_0957beae540a0ea4,doc_0957beae540a0ea4|doc_5d7d7b3b2abc89df|doc_a41de15e5b29bc4a|doc_ef91d3ce054acb3a|doc_a516564b3a344f30
english,english_152,emanual_125,validation,english,emanual,hybrid,1,1,0,unchanged,True,How do I open the accessibility Shortcuts menu?,doc_c054145800fbf428|doc_f0e90fb8f636298c,doc_c054145800fbf428|doc_f0e90fb8f636298c|doc_0e27df103bf080bd|doc_0012580590c4c18b|doc_c4a1cafcf274cbae
english,english_152,emanual_489,validation,english,emanual,hybrid,6,2,4,improved,True,Can I configure Color?,doc_353741387bfd6387,doc_af2ec7a96f792725|doc_353741387bfd6387|doc_599100686061968d|doc_0f4a2c01c63c7750|doc_64626f5b3d334fe7
english,english_152,emanual_196,validation,english,emanual,hybrid,3,1,2,improved,True,From where I can select beautiful screens?,doc_1877001c624f7540|doc_d0b12e9c89efb338,doc_d0b12e9c89efb338|doc_af2ec7a96f792725|doc_af9e1db1daf8b03b|doc_2bbca0997af7e74a|doc_1877001c624f7540
english,english_152,emanual_390,validation,english,emanual,hybrid,1,1,0,unchanged,True,How do I enable audio for video description function?,doc_0012580590c4c18b|doc_f7603509c53ff3ed,doc_f7603509c53ff3ed|doc_c054145800fbf428|doc_21e1954dbcd5e7b3|doc_63df1531cbdc659b|doc_ae3ce3395e81ce1c
english,english_152,emanual_405,validation,english,emanual,hybrid,1,1,0,unchanged,True,How do I do factory reset?,doc_25dffc7c886f9021|doc_c62d865190756e69|doc_e46962318e2553d7,doc_25dffc7c886f9021|doc_e46962318e2553d7|doc_0f015058bf7c2775|doc_c62d865190756e69|doc_e66d2e96bcd55a11
english,english_152,emanual_257,test,english,emanual,hybrid,1,1,0,unchanged,True,How do I change the current time on TV?,doc_c0c0b15cc2de836c,doc_c0c0b15cc2de836c|doc_021c12c35b16c64e|doc_a41de15e5b29bc4a|doc_202165cdad773eb5|doc_ae3ce3395e81ce1c
english,english_152,emanual_237,test,english,emanual,hybrid,1,1,0,unchanged,True,How do I select Optimized sound mode?,doc_99b36d27411cc595,doc_99b36d27411cc595|doc_d0c4a5adf3ffc776|doc_706dedfd66e0c194|doc_c0720d5f0d595fea|doc_dc30edcb02d26e16
english,english_152,emanual_377,validation,english,emanual,hybrid,1,1,0,unchanged,True,What is connection guide?,doc_3116d72414e56f1e|doc_41c59520df46bac2,doc_3116d72414e56f1e|doc_562d294fe96ed140|doc_2c3942511eba49a0|doc_f0e90fb8f636298c|doc_c054145800fbf428
english,english_152,emanual_539,test,english,emanual,hybrid,1,1,0,unchanged,True,Can I select Ambient Light Detection ?,doc_afc84e50acac12bb,doc_afc84e50acac12bb|doc_af2ec7a96f792725|doc_bb306395cc6d4f76|doc_559038e0a46f70dd|doc_fd9f5beff7a82de8
english,english_152,emanual_574,validation,english,emanual,hybrid,1,1,0,unchanged,True,How do I establish a wired Internet connection?,doc_47ce19cf70eb6dd7|doc_b004658a7d9ff39a|doc_e778c8da35de9c2f,doc_47ce19cf70eb6dd7|doc_58f9883ef5600855|doc_39d0ee956dd210f7|doc_1dd3a6f1cd0a8ac3|doc_3116d72414e56f1e
english,english_152,emanual_318,validation,english,emanual,hybrid,1,1,0,unchanged,True,How do I edit channels?,doc_00755b389731a48d|doc_c246ec277efd47fe|doc_e7ca421f430ee3c1,doc_c246ec277efd47fe|doc_a17d0b6c852f901f|doc_e7ca421f430ee3c1|doc_00755b389731a48d|doc_95fa017d8afc2bc7
english,english_152,emanual_59,test,english,emanual,hybrid,1,1,0,unchanged,True,How to turn TV in Ambient Mode?,doc_559038e0a46f70dd|doc_fd9f5beff7a82de8,doc_fd9f5beff7a82de8|doc_1ccf529a297411ff|doc_559038e0a46f70dd|doc_af2ec7a96f792725|doc_d0b12e9c89efb338
english,english_152,emanual_537,validation,english,emanual,hybrid,1,1,0,unchanged,True,Can I turn off the TV using off timer?,doc_8cef7e3848eac080,doc_8cef7e3848eac080|doc_fd9f5beff7a82de8|doc_d0b12e9c89efb338|doc_afc84e50acac12bb|doc_e5596e1b3e874338
english,english_152,emanual_346,validation,english,emanual,hybrid,1,1,0,unchanged,True,How to update TV's software through internet?,doc_c0f02da9d00f95d9|doc_e66d2e96bcd55a11,doc_e66d2e96bcd55a11|doc_755e377f476da28d|doc_c0f02da9d00f95d9|doc_58f9883ef5600855|doc_fce8424fccb22773
english,english_152,emanual_420,test,english,emanual,hybrid,14,3,11,improved,True,How do I fix blurring issues on TV screen?,doc_bb306395cc6d4f76,doc_0f4a2c01c63c7750|doc_e0c8d52bda0ed65c|doc_bb306395cc6d4f76|doc_0f015058bf7c2775|doc_599100686061968d
english,english_152,emanual_363,test,english,emanual,hybrid,1,1,0,unchanged,True,Can I changing the name of the TV on a network?,doc_425a79f5973c1d9d,doc_425a79f5973c1d9d|doc_a17d0b6c852f901f|doc_db1a96f5b1f00b6e|doc_e5596e1b3e874338|doc_e0c8d52bda0ed65c
english,english_152,emanual_4,test,english,emanual,hybrid,1,1,0,unchanged,True,What is decor and how to set wallpaper of the Ambient Mode screen?,doc_af2ec7a96f792725,doc_af2ec7a96f792725|doc_fd9f5beff7a82de8|doc_1ccf529a297411ff|doc_559038e0a46f70dd|doc_da1300ebb4dd314e
english,english_152,emanual_140,validation,english,emanual,hybrid,1,1,0,unchanged,True,How can I record my scheduled program?,doc_0957beae540a0ea4|doc_ef91d3ce054acb3a,doc_0957beae540a0ea4|doc_ef91d3ce054acb3a|doc_5d7d7b3b2abc89df|doc_a41de15e5b29bc4a|doc_202165cdad773eb5
english,english_152,emanual_473,test,english,emanual,hybrid,3,3,0,unchanged,True,I want to setup a beautiful screens. How can I do that?,doc_d0b12e9c89efb338,doc_af2ec7a96f792725|doc_2bbca0997af7e74a|doc_d0b12e9c89efb338|doc_1877001c624f7540|doc_fd9f5beff7a82de8
english,english_152,emanual_403,test,english,emanual,hybrid,1,1,0,unchanged,True,How do I enable/disable light effect?,doc_af2ec7a96f792725|doc_afc84e50acac12bb,doc_afc84e50acac12bb|doc_bb306395cc6d4f76|doc_353741387bfd6387|doc_af2ec7a96f792725|doc_706dedfd66e0c194
english,english_152,emanual_605,validation,english,emanual,hybrid,1,1,0,unchanged,True,Where do I find accessibility shortcuts functions?,doc_c054145800fbf428|doc_f0e90fb8f636298c,doc_c054145800fbf428|doc_f0e90fb8f636298c|doc_0e27df103bf080bd|doc_c4a1cafcf274cbae|doc_0012580590c4c18b
english,english_152,emanual_132,test,english,emanual,hybrid,2,2,0,unchanged,True,How do I turn on High Contrast using Bixby?,doc_3deec08e7a494c6d|doc_cb5137af2abe18b6,doc_2bbca0997af7e74a|doc_cb5137af2abe18b6|doc_3deec08e7a494c6d|doc_487682275d5ba6d5|doc_353741387bfd6387
english,english_152,emanual_396,validation,english,emanual,hybrid,1,1,0,unchanged,True,What is the function of 'Learn Menu Screen'?,doc_1c805f0df386110a|doc_44e1346840a728bb,doc_1c805f0df386110a|doc_44e1346840a728bb|doc_f0e90fb8f636298c|doc_9ea31ceb018bd241|doc_0012580590c4c18b
english,english_152,emanual_522,validation,english,emanual,hybrid,1,1,0,unchanged,True,Can I do Sound Mirroring?,doc_93b5337a580bd24e|doc_dc30edcb02d26e16,doc_93b5337a580bd24e|doc_dc30edcb02d26e16|doc_d4d50252bc60bc84|doc_0f015058bf7c2775|doc_4575d3ff16a9c519
english,english_152,emanual_365,test,english,emanual,hybrid,1,1,0,unchanged,True,My IP auto setting failed. How to configure it?,doc_e778c8da35de9c2f,doc_e778c8da35de9c2f|doc_c3adb567b151b0fb|doc_5c5589c27cc2fd98|doc_c0f02da9d00f95d9|doc_755e377f476da28d
english,english_152,emanual_395,test,english,emanual,hybrid,1,1,0,unchanged,True,What is the function of 'Learn TV Remote'?,doc_9ea31ceb018bd241,doc_9ea31ceb018bd241|doc_f0e90fb8f636298c|doc_0012580590c4c18b|doc_c987f7c29cc250f8|doc_f2b33f1597080e73
english,english_152,emanual_101,validation,english,emanual,hybrid,1,2,-1,declined,True,I am not getting full display picture. How do I do that?,doc_d5537ad686b27380|doc_e0c8d52bda0ed65c,doc_e12736352b7e2a01|doc_d5537ad686b27380|doc_e0c8d52bda0ed65c|doc_615a7c3ab71fc9f0|doc_bb306395cc6d4f76
english,english_152,emanual_426,test,english,emanual,hybrid,1,1,0,unchanged,True,How do I fix the missing/wrong color issue ?,doc_bb306395cc6d4f76,doc_bb306395cc6d4f76|doc_599100686061968d|doc_64626f5b3d334fe7|doc_0f4a2c01c63c7750|doc_353741387bfd6387
english,english_152,emanual_393,validation,english,emanual,hybrid,1,1,0,unchanged,True,How do I invert the screen colors?,doc_599100686061968d,doc_599100686061968d|doc_0f4a2c01c63c7750|doc_e0c8d52bda0ed65c|doc_0af7c92f8dbdb29b|doc_af2ec7a96f792725
english,english_152,emanual_98,validation,english,emanual,hybrid,1,2,-1,declined,True,How to surf internet on my TV?,doc_47ce19cf70eb6dd7|doc_6935de094dfc03d5,doc_58f9883ef5600855|doc_6935de094dfc03d5|doc_39d0ee956dd210f7|doc_fce8424fccb22773|doc_47ce19cf70eb6dd7
english,english_152,emanual_305,test,english,emanual,hybrid,1,1,0,unchanged,True,How do I record using time Timeshift function?,doc_5d7d7b3b2abc89df|doc_740618e7a565f652,doc_5d7d7b3b2abc89df|doc_740618e7a565f652|doc_ae3ce3395e81ce1c|doc_1c2902da5d91b0b5|doc_202165cdad773eb5
english,english_152,emanual_478,validation,english,emanual,hybrid,1,1,0,unchanged,True,I want to change the auto brightness setting. How can I do that?,doc_1ccf529a297411ff|doc_559038e0a46f70dd,doc_559038e0a46f70dd|doc_1ccf529a297411ff|doc_af2ec7a96f792725|doc_afc84e50acac12bb|doc_e12736352b7e2a01
